Country,Category,Item
Mexico,Drink,Beer
"Moldova, Republic of",Drink,Wine
Montenegro,Fruit and Vegetables,Blackberries
Montserrat,Fruit and Vegetables,Asparagus
Morocco,Fruit and Vegetables,Tomatoes
Mozambique,Drink,Tea and coffee
Myanmar,Meat,Fish (frozen)
Namibia,Meat,Beef
Nepal,Ingredients,Flour
Netherlands,Fruit and Vegetables,Potatoes
New Zealand,Drink,Wine
Nicaragua,Fruit and Vegetables,Nuts
Nigeria,Confectionary,Cocoa products
Norway,Meat,Fish (frozen)
Occupied Palestinian Territory,Fruit and Vegetables,Dates
Oman,"Cereals, grains and seeds",Rice
Pakistan,"Cereals, grains and seeds",Rice
Palau,Meat,Seafood
Panama,Fruit and Vegetables,Bananas and plantains
Papua New Guinea,Ingredients,Oil
Paraguay,Meat,Beef
Peru,Fruit and Vegetables,Avocados
Philippines,Meat,Fish
Poland,Confectionary,Chocolate
Portugal,Fruit and Vegetables,Tomatoes
Qatar,Ingredients,Oil
Reunion,Meat,Fish
Romania,"Cereals, grains and seeds",Seeds
Russia,Meat,Fish (frozen)
Rwanda,Drink,Tea and coffee
Samoa,Ingredients,Oil
Saudi Arabia,Fruit and Vegetables,Dates
Senegal,Fruit and Vegetables,Sweetcorn
Serbia,Fruit and Vegetables,Raspberries
Seychelles,Meat,Fish
Sierra Leone,Ingredients,Oil
Singapore,Confectionary,Cocoa products
Sint Maarten,Fruit and Vegetables,Peppers
Slovakia,Dairy,Cheese
Slovenia,Dairy,Ice Cream
Solomon Islands,Meat,Fish
Somalia,Fruit and Vegetables,Lemons
South Africa,Fruit and Vegetables,Grapes
South Korea,Misc,Dried pasta
Spain,Fruit and Vegetables,Peppers
Sri Lanka,Drink,Tea and coffee
St Kitts and Nevis,Drink,Spirits
St Lucia,Fruit and Vegetables,Bananas and plantains
St Pierre and Miquelon,Drink,Tea and coffee
St Vincent and the Grenadines,Fruit and Vegetables,Artichokes
Sudan,Misc,Natural gum arabic
Surinam,Meat,Fish (frozen)
Swaziland,Ingredients,Sugar
Sweden,Meat,Fish
Switzerland,Drink,Tea and coffee
Syria,Fruit and Vegetables,Grapes
Taiwan,Drink,Spirits
Tanzania (United Republic of),Drink,Tea and coffee
Thailand,Meat,Processed meat
Togo,Fruit and Vegetables,Nuts
Tonga,Meat,Seafood
Trinidad and Tobago,Ingredients,"Extracts, concentrates, residues, preparations"
Tunisia,Fruit and Vegetables,Dates
Turkey,Fruit and Vegetables,Sultanas
Uganda,Fruit and Vegetables,Peppers
Ukraine,"Cereals, grains and seeds",Seeds
United Arab Emirates,Ingredients,Oil
United States,Drink,Wine
Uruguay,Meat,Beef
Uzbekistan,Fruit and Vegetables,Grapes
Vanuatu,Confectionary,Cocoa products
"Venezuela, Bolivarian Republic of",Fruit and Vegetables,Guavas
Vietnam,Fruit and Vegetables,Nuts
"Virgin Islands, British",Confectionary,Sweets
Zambia,Fruit and Vegetables,Pulses
Zimbabwe,Fruit and Vegetables,Pulses
